Name,Comments,Travel_Date,Writing_date,Rating of 5,O/D,Secteur,Contribution
Egbukichi C,"Travelled with Royal Air Maroc on Flight AT 803 (London–Abuja, 16/12/2025). Two checked bags were permanently lost. A PIR was filed, but no recovery or response followed. Formal complaints and a follow-up email were submitted; the latter was rejected. Significant inconvenience and financial loss were incurred. Disappointing handling and communication.",December 2025,,1,London - Abuja,International,
Abdullah J,"I normally do not write reviews, but my experience with Royal Air Maroc was very disappointing. My first flight was delayed by two hours, and the return flight was delayed by six hours, which caused me to miss working days. The aircraft felt old and poorly maintained. The TVs were not working properly, and the sound did not work even when I plugged in earphones. I tried multiple seats since the plane was empty, but the issue was the same. Cleanliness on board was below basic standards. The tables were dirty, and overall hygiene did not meet expectations. During the flight, I was also hit multiple times by service carts and crew moving through the aisle without enough awareness or care. At one point, when I asked for a napkin, a crew member tried to hand me a visibly dirty one he already had in his hand instead of bringing a clean one. The food quality was also very poor.",February 2026,,1,Washington DC - Casablanca,International,
Soul P,"Just flew Royal Air Maroc from London Gatwick (LGW) to Casablanca (CMN), then connecting to Agadir (AGA), and it was one of the worst travel experiences I've ever had. I strongly recommend not flying with this airline unless you enjoy wasting your time and dealing with complete apathy. First leg: Delayed by over an hour departing Gatwick. No explanation given. Fine, delays happen—but it set the tone. Then the real fun began in Casablanca. Our connection to Agadir was delayed by a shocking 3 hours. Again, zero communication from staff. No apologies, no updates, no offers of water/food/vouchers—nothing. We were left standing around like idiots, The ground crew and gate agents acted like our ruined plans and exhausted wait were someone else's problem. Everyone seemed completely unbothered and uninterested in helping passengers. The attitude was infuriating: zero accountability, zero customer care. It felt like they couldn't care less if flights run on time or if people miss their entire day (or more). If there were a rating lower than 1 star, I'd give it— this airline's service is abysmal. Save yourself the headache and book with anyone else. EasyJet, Ryanair, or direct options to Agadir exist for a reason. Royal Air Maroc is not worth the cheap fare when you end up paying in stress, lost time, and frustration. Never again. Steer clear!",February 2026,,1,London - Agadir,International,
Jelena L,"If there was an option to rate my experience with zero, I would choose that one. This is the worst aiirline ever. I was flying from Amsterdam to Morocco on Saturday , September 2024. My luggage was lost and I picked it up on my way back to Amsterdam, on Thursday. I spent 5 days in Casablanca with no luggage, not to mention that on arrival when I declared missing luggage I eas told it would arrive the next day. The hotel stuff was really nice and they were calling airport every day, but nothing. Since this was business trip , I had to buy essential staff, both business-casual and casual. Since on the way back I picked up the luggage, I had to fit staff I bought and they wanted to charge me for excess luggage. I explained the situation, but no. Therefore, some of the things, I had to leave there. Since then, which was September 2024 I am trying to get proper refund. The airline at one point said they would accept just half, and also not the hand luggage I had to buy. Still, I haven’t received any refund, I made thousands of calls and sent tons of emails. But nothing. Each time I call, looks like I am talking to a robot - repeating the same, that someone would call me and respond. And nothing. I also asked who is going to pay for my lost time and for money that is not worth the same amount as it was 2 years ago? This is not the worst airline only, but the worst customer service as well.",March 2025,,1,Amsterdam - Casablanca,International,
Vy Huynh,"I am writing to express my serious dissatisfaction regarding delayed baggage handling on my recent flight from Casablanca to Marrakech. Upon arrival in Marrakech, my suitcase did not arrive. I was informed it remained in Casablanca and would be forwarded on one of two flights later that evening. I was told I would receive it early the following day. The next day, I received no communication. I returned to Marrakech airport myself to follow up, only to be told that the suitcase was not in Casablanca — it was still in Doha. This contradicted the initial explanation provided at the airport. The handling of this situation has been highly disorganized and unprofessional: • Conflicting information about baggage location • No proactive communication or updates • No delivery service to accommodation (I was required to collect it from the airport) • No guidance regarding compensation for essential purchases • Significant delays with no clear timeline While I understand operational disruptions can happen, what is unacceptable is the lack of accurate information and customer support. Additionally, when I visited Marrakech airport to follow up, there were many other passengers waiting for missing baggage as well. This suggests that delayed luggage may be a recurring issue and not an isolated case. Passengers should not be required to repeatedly travel to the airport to retrieve baggage caused by airline handling errors. Proper coordination, transparency, and customer care are expected. I request: • Immediate confirmation of final baggage routing • Delivery to my next destination (Fes) as agreed • Reimbursement for essential purchases made due to the delay This experience has significantly affected my trip and confidence in your airline.",February 2026,,1,,,
Marcus D,Bad service Bad airline Bad air hostess You have to know something mfk we pay our fkn money,February 2026,,1,New York City - Casablanca,International,
sandranavarro00,"I just don't have the stregnth to write anymore, so I have to summarize: terrible experience, never again",December 2025,,1,Barcelona - Praia,International,
Isaac Enmanuel V,"I am writing this review after an extremely frustrating experience with Royal Air Maroc. My checked baggage was delayed during an international connection and I have now spent almost 48 hours in Morocco without my suitcase, which contained all my clothing, personal belongings, toiletries, and medically necessary items. What is most unacceptable is not just the delay, but the total lack of coordination and accountability. I received no proactive communication, no tracking information, no delivery timeline, and no clear answers despite multiple calls and emails. At one point, customer service informed me that my baggage had been handed over to a third-party delivery company, provided only a generic Gmail address, and then attempted to shift responsibility entirely to that third party — despite the airline remaining fully responsible until delivery. This situation caused serious personal and professional disruption, including the inability to attend important meetings properly prepared. Customer service responses were slow, vague, and inconsistent, requiring constant follow-ups from my side just to obtain basic information. While the flight itself may get you from point A to point B, Royal Air Maroc’s post-flight service and baggage management are deeply unreliable. If anything goes wrong, be prepared to fight for updates, accountability, and resolution. I strongly advise travelers — especially those with connections, time-sensitive commitments, or essential items in checked luggage — to think very carefully before choosing this airline.",February 2026,,1,Madrid - Casablanca,International,
Rich M,"I am very disappointed with my recent experience with Royal Air Maroc. The flight was delayed by 3 hours and 30 minutes, with no clear explanation, no apology, and no form of compensation offered to passengers. Communication during the delay was almost nonexistent, which made the situation even more frustrating. On board, the overall service quality was poor. The cabin crew appeared unprofessional and disengaged, and the level of English from the senior cabin crew was extremely weak, to the point where basic communication was difficult. This is not acceptable for an international airline. More concerning was the lack of basic safety procedures during landing. No crew member checked whether seats were upright or if passengers’ seat belts were properly fastened. This is a fundamental safety responsibility, and ignoring it is simply unacceptable. Between the long delay, the absence of customer care, poor service standards, and safety oversights, this experience fell far below what passengers should expect from a national airline.",February 2026,,1,Doha - Casablanca,International,
Shelley M,"First and last time using this carrier. Food was TERRIBLE. Cabin crew unfriendly, no wine for dinner on the return flight and finally, we paid extra for bulk head seats but they moved us to another row not having the extra leg room. It was paid on my credit card and will dispute. I'd gladly paid extra to fly on another carrier when I go back to visit Morocco",February 2026,,2,Miami - Casablanca,International,
