review_id,auteur,pays,nb_avis,note,titre,texte,date_exp,date_publi,type_avis,url
672097ad9e743c9210fed386,Denys P,,2 avis,1,Annulation sans explication ni excuse ! honteux !,"Nous partons au Cap Vert dans trois jours. Nous avons tout réservé (hôtels, vols intérieurs entre les îles). Mais voilà que Royal Air Maroc nous écrit hier pour nous dire que notre vol retour est annulé. Nous devons rentrer 1,5 jours plut tôt ! aucune explication ! aucune excuse ! Or nous avons un vol intérieur qui atterrit seulement 24h avant notre retour. Non remboursable ! idem pour les hôtels et la location de voiture. Tout est chamboulé. Et le pire, c'est que le nouveau vol retour va durer 16h au lieu de 8 h initialement prévu. Nous n'aurions jamais choisi un tel vol ! Une honte !",,2024-10-29T10:07:09.000Z,,https://fr.trustpilot.com/reviews/672097ad9e743c9210fed386
671f7835662b7f366bdb216b,Fulgence Koffi,,1 avis,1,Foncièrement déçu par cette compagnie.,"Foncièrement déçu par cette compagnie.
J'ai introduit une réclamation après un refus d'embarquement.
Au moment où j'écris cette note, ça fait plus d'un mois que j'attends un retour de leur part malgré mes relances.
Lorsque je parviens à avoir le service client en ligne ( à noter qu'il s'agit d'un numéro surtaxé. Ils n'ont pas de compte WhatsApp contrairement à ce qu'ils indiquent), on me répond systématiquement : "" quel est votre numéro de réclamation""... "" Votre demande est en cours de traitement""... "" Nous allons relancer votre réclamation""
Piff! C'est révoltant cette façon de se comporter avec ses clients.
Je déconseille fortement cette compagnie.",,2024-10-28T13:40:37.000Z,,https://fr.trustpilot.com/reviews/671f7835662b7f366bdb216b
671f35bf5e821c661dd2432a,Fabien P.,,11 avis,1,4 h de retard a l'aller coincé dans…,"4 h de retard a l'aller coincé dans Casablanca
9 h au retour de rattard vol annulé aucun dédommagement si ce n'est une cannette de coca
Honteux
Personnel agressifs
Aucune explication
Affichage complètement loufoque
A fuir
Une bande de nul qui essaie de jouer aux pros...
Flippant",,2024-10-28T08:57:03.000Z,,https://fr.trustpilot.com/reviews/671f35bf5e821c661dd2432a
671e52906f3beba26d51724d,XT,,2 avis,1,Honteux et malhonnête,"Ma femme et moi n’avons pu embarquer sur le vol AT776 entre Casablanca et Paris car il était surbooké. Au comptoir, on nous a expliqué que nous serions indemnisés à hauteur de 80% du coût du billet. Cette situation nous embêtait beaucoup à cause de nos obligations professionnelles du lendemain, mais nous n’avions pas le choix.

Nous avons passé la nuit dans un hôtel horrible où la nourriture était infâme et où on entendait tout ce qu'il se passait dans les autres chambres. Nous avons été réveillés 6 fois dans la nuit.

Lorsque nous avons pris contact avec le service client pour obtenir le remboursement, il nous a été proposé un remboursement complètement différent : 50% en cash, ou 100% en avoir, et sans compter les taxes d’aéroport.

Malgré plusieurs échanges avec leur service client, je n'ai jamais obtenu gain de cause au prétexte que ""Nous tenons à vous informer que nous ne sommes pas responsables des dires du personnel au niveau de l’aéroport.""

Cette compagnie est une honte absolue. Fuyez !!",,2024-10-27T16:47:44.000Z,,https://fr.trustpilot.com/reviews/671e52906f3beba26d51724d
67178ccf095535db44a23b5d,Yester Day,,2 avis,1,Un vol volé,"Bonjour
La pratique d'annulation d'un vol retour suite à un aller raté de peu est tout simplement scandaleuse sans information pour les passagers!!!!...
L'assistance que ce soit aux aéroports ou en ligne d'une médiocrité absolue !!!...",,2024-10-22T13:30:23.000Z,,https://fr.trustpilot.com/reviews/67178ccf095535db44a23b5d
6716d31ef7fa641bd873cb80,Maroc AFRIQUE,,1 avis,1,A fuir sans réfléchir,"Vraiment a éviter, tu réserves, tu paies mais tu ne peux pas embarquer pour aucune raison et en plus ils te donnent un autre vol le lendemain le pire c'est que tu ne peux pas quitter l'aéroport (transit).",,2024-10-22T00:18:06.000Z,,https://fr.trustpilot.com/reviews/6716d31ef7fa641bd873cb80
670ec2d64e193143e3259869,Ramratou BA,,4 avis,1,Cela fait 3 mois que je cours après RAM…,"Cela fait 3 mois que je cours après RAM pour une indemnisation. Ils ont mon RIB depuis 3 mois, mais me font courir depuis. Je ne lâcherai pas et vais consulter un avocat. Une honte !",,2024-10-15T21:30:30.000Z,,https://fr.trustpilot.com/reviews/670ec2d64e193143e3259869
670cf2a4b221d696b1176158,JAC,,6 avis,1,Une honte,"Une honte: la compagnie choisit un petit avion pour rapatrier ses passagers depuis Marrakech (vol AT 636 du 13/10/24 à 16:20) et oblige ses passagers classe économique à laisser leurs ""bagages à main"" en soute !!Des médicaments n'ont pu être pris à temps pendant le vol ! Uniquement les buisness class ont pu embarquer avec bagage à main.De plus, les passagers aux places 25-26 et plus, n'ont plus le choix du repas : poisson imposé car tous les autres ont choisi le poulet !On prend les passagers pour du bétail ! Personnel au sol à l'aéroport agressif !A FUIR !",,2024-10-14T12:29:56.000Z,,https://fr.trustpilot.com/reviews/670cf2a4b221d696b1176158
670a47e56e25ee053d6371d5,CATHERINE COULLET,,6 avis,1,Réclamation à la RAM,"J’ai déposé une réclamation suite à un retard de vol, bagages reçus deux jours après mon arrivée etc. Quand ma réclamation a fini par être traitée et validée on m’a proposé une compensation en CFA alors que j’ai payé en euros et réside e France! La proposition m’a été faite des mois après mon vol de retour quidatait de fin juin et…. Aujourd’hui l’argent ne m’a toujours pas été versé alors que j’ai téléphoné de multiples fois au service de réclamation. La réponse est toujours la même: votre réclamation est en cours de traitement….!!!!!",,2024-10-12T11:56:53.000Z,,https://fr.trustpilot.com/reviews/670a47e56e25ee053d6371d5
670a3e04b00a59adfefb446c,Kouceila Ben Baya,,2 avis,1,Une horreur,"S’il y avait moyen de mettre 0 étoile je l’aurais mis.
Une catastrophe au sens propre du terme : Erreur d’éthiquetage, valise perdue, service client très désagréable, aucune visibilité sur le dédommagement...
S’il reste que cette compagnie dans le monde, je ne reprendrai jamais un avion !",,2024-10-12T11:14:44.000Z,,https://fr.trustpilot.com/reviews/670a3e04b00a59adfefb446c
